21:21:35.700301 [queue=2] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=40 is delayed for 260ms
21:21:35.961569 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=40 is delivered
21:21:35.961961 [queue=1] packet #1, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is dropped
21:21:36.011350 [queue=0] packet #3, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=40 is delivered
21:21:36.011578 [queue=1] packet #3, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delayed for 940ms
21:21:36.952692 [queue=0] packet #3, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delivered
21:21:39.966920 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=40 is dropped
21:21:42.974219 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=40 is delayed for 470ms
21:21:43.445207 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=40 is delivered
21:21:43.445412 [queue=0] packet #1, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is dropped
21:21:45.981630 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=40 is dropped
21:21:48.989082 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=40 is delayed for 530ms
21:21:49.520216 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=40 is delivered
21:21:49.520463 [queue=1] packet #1, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delayed for 210ms
21:21:49.731610 [queue=0] packet #1, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delivered
21:21:49.744422 [queue=1] packet #4, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=34 is delayed for 990ms
21:21:50.735690 [queue=0] packet #4, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=34 is delivered
21:21:50.736242 [queue=1] packet #4, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delayed for 50ms
21:21:50.787416 [queue=0] packet #4, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delivered
21:21:50.794002 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=0 is dropped
21:21:55.797522 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=0 is delayed for 30ms
21:21:55.828893 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=0 is delivered
21:21:55.829239 [queue=1] packet #0, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delayed for 510ms
21:21:56.340619 [queue=0] packet #0, 127.0.0.1:57821 -> 127.0.0.1:8007, sz=0 is delivered
21:21:56.341716 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=0 is delayed for 50ms
21:21:56.392264 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:57821, sz=0 is delivered
21:21:59.402737 [queue=1] packet #0, 127.0.0.1:59594 -> 127.0.0.1:8007, sz=0 is delayed for 660ms
21:22:00.064514 [queue=0] packet #0, 127.0.0.1:59594 -> 127.0.0.1:8007, sz=0 is delivered
21:22:02.408246 [queue=1] packet #0, 127.0.0.1:59594 -> 127.0.0.1:8007, sz=0 is delayed for 610ms
21:22:03.020980 [queue=0] packet #0, 127.0.0.1:59594 -> 127.0.0.1:8007, sz=0 is delivered
21:22:03.109735 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:59594, sz=0 is delayed for 830ms
21:22:03.109864 [queue=2] packet #0, 127.0.0.1:8007 -> 127.0.0.1:59594, sz=0 is delayed for 630ms
21:22:03.741300 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:59594, sz=0 is delivered
